publication_id,study_id,es_id,reference,title,year,location,domain,intervention_category,intervention_technique,type_experiment,population,n_study,n_comparison,n_control,n_intervention,binary_outcome,mean_control,sd_control,mean_intervention,sd_intervention,cohens_d,variance_d,approximation,wansink
22,35,50,BIT (2013),Applying behavioural insights to organ donation: Preliminary results from a randomised controlled trial,2013,0,pro-social,information,social_reference,natural_field,1,813990,271330,135665,135665,1,0.02308315,NA,0.02907167,NA,0.0376,1.47E-05,1,0
22,35,51,BIT (2013),Applying behavioural insights to organ donation: Preliminary results from a randomised controlled trial,2013,0,pro-social,information,visibility,natural_field,1,813990,271330,135665,135665,1,0.02308315,NA,0.02907167,NA,0.0376,1.47E-05,1,0
33,55,76,Camilleri & Larrick (2014),Metric and scale design as choice architecture tools,2014,1,environment,information,translation,artefactual_field,1,484,323,162,161,1,0.552,NA,0.57,NA,0.0363,0.0124,1,0
211,333,445,Zikmund-Fisher et al. (2011),"""I'll do what they did"": Social norm information and cancer treatment decisions.",2011,1,health,information,social_reference,artefactual_field,1,1077,718,359,359,1,0.461,NA,0.444,NA,0.0342,0.0056,1,0
20,33,40,BETA (2019),Credit when it's due,2019,0,finance,assistance,reminder,natural_field,1,16030,8005,4001,4004,0,551,1759,616,2135,0.0332,0.0005,0,0
75,129,169,Grepin et al. (2019),Cash on delivery: Results of a randomized experiment to promote maternal health care in Kenya,2019,0,health,assistance,reminder,framed_field,1,1514,908,574,334,1,0.3885017,NA,0.4041916,NA,0.0321,0.0047,0,0
21,34,46,Bhanot (2017),Cheap promises: Evidence from loan repayment pledges in an online experiment,2017,1,finance,assistance,commitment,natural_field,1,2787,1424,729,695,1,0.78,NA,0.792,NA,0.0293,0.0028,1,0
21,34,47,Bhanot (2017),Cheap promises: Evidence from loan repayment pledges in an online experiment,2017,1,finance,assistance,commitment,natural_field,1,2787,1404,729,675,1,0.56,NA,0.574,NA,0.0283,0.0029,1,0
20,33,41,BETA (2019),Credit when it's due,2019,0,finance,assistance,reminder,natural_field,1,16030,8018,4001,4017,0,551,1759,605,2162,0.0274,0.0005,0,0
48,79,103,Damgaard & Gravert (2017),The hidden costs of nudging: Experimental evidence from reminders in fundraising,2017,0,pro-social,assistance,reminder,natural_field,1,17391,17391,8692,8699,1,0.0035,NA,0.0053,NA,0.0273,0.0002,0,0
87,142,186,Impact and Innovation Unit (2018),Using behavioural insights to encourage charitable donations,2018,0,pro-social,structure,consequence,natural_field,1,196876,56251,28124,28127,1,0.000213341,NA,0.000746614,NA,0.0254,0.0001,0,0
19,32,37,BETA (2018),Energy labels that make cents,2018,0,environment,information,translation,natural_field,1,39614,26341,13142,13199,1,0.0101,NA,0.0123,NA,0.0209,0.0002,0,0
19,32,38,BETA (2018),Energy labels that make cents,2018,0,environment,information,translation,natural_field,1,39614,26415,13142,13273,1,0.0101,NA,0.0118,NA,0.0163,0.0002,0,0
39,69,90,Castleman & Page (2016),Freshman year financial aid nudges: An experiment to increase FAFSA renewal and college persistence,2016,1,other,assistance,reminder,natural_field,1,808,808,395,413,1,0.806,NA,0.812,NA,0.0153,0.005,1,0
87,142,187,Impact and Innovation Unit (2018),Using behavioural insights to encourage charitable donations,2018,0,pro-social,information,visibility,natural_field,1,196876,56250,28124,28126,1,0.000213341,NA,0.000426651,NA,0.0121,0.0001,0,0
128,206,279,Miller et al. (2016),The effects of pre-ordering and behavioral nudges on national school lunch program participants' food item selection,2016,1,food,assistance,commitment,framed_field,0,133,133,98,35,1,0.762,NA,0.764,NA,0.0047,0.0388,0,0
87,142,188,Impact and Innovation Unit (2018),Using behavioural insights to encourage charitable donations,2018,0,pro-social,information,visibility,natural_field,1,196876,56249,28124,28125,1,0.000213341,NA,0.000248889,NA,0.0023,0.0001,0,0
113,187,242,Loibl et al. (2018),Testing strategies to increase saving in individual development account programs,2018,1,finance,structure,default,natural_field,1,105,105,54,51,1,0.6319,NA,0.632,NA,0.0002,0.0381,0,0
211,332,446,Zikmund-Fisher et al. (2011),"""I'll do what they did"": Social norm information and cancer treatment decisions.",2011,1,health,information,social_reference,artefactual_field,1,1077,718,359,359,1,0.266,NA,0.266,NA,0,0.0056,1,0
73,125,167,Goswami & Urminsky (2016),When should the ask be a nudge? The effect of default amounts on charitable donations,2016,1,pro-social,structure,default,artefactual_field,1,76,38,24,14,1,0.21,NA,0.21,NA,0,0.1131,0,0
87,142,189,Impact and Innovation Unit (2018),Using behavioural insights to encourage charitable donations,2018,0,pro-social,information,social_reference,natural_field,1,196876,56249,28124,28125,1,0.000213341,NA,0.000177778,NA,-0.0025,0.0001,0,0
76,130,171,Hainmueller et al. (2018),A randomized controlled design reveals barriers to citizenship for low-income immigrants,2018,1,other,structure,effort,natural_field,1,1190,579,425,154,1,0.44,NA,0.438,NA,-0.004,0.0088,0,0
87,142,190,Impact and Innovation Unit (2018),Using behavioural insights to encourage charitable donations,2018,0,pro-social,information,social_reference,natural_field,1,196876,56248,28124,28124,1,0.000213341,NA,0.000142227,NA,-0.0054,0.0001,0,0
22,35,52,BIT (2013),Applying behavioural insights to organ donation: Preliminary results from a randomised controlled trial,2013,0,pro-social,information,social_reference,natural_field,1,813990,271330,135665,135665,1,0.02308315,NA,0.02210321,NA,-0.0066,1.47E-05,1,0
69,121,155,Goldzahl et al. (2018),Increasing breast-cancer screening uptake: A randomized controlled experiment,2018,0,health,information,social_reference,natural_field,1,15880,10584,5277,5307,1,0.4758,NA,0.4709,NA,-0.0098,0.0004,0,0
203,318,425,Wansink et al. (2017),Larger partitions lead to larger sales: Divided grocery carts alter purchase norms and increase sales,2017,0,food,structure,composition,framed_field,1,83,52,26,26,0,8.77,4.39,8.72,4.42,-0.0114,0.0769,0,1
87,142,191,Impact and Innovation Unit (2018),Using behavioural insights to encourage charitable donations,2018,0,pro-social,information,translation,natural_field,1,196876,56249,28124,28125,1,0.000213341,NA,7.11E-05,NA,-0.0123,0.0001,0,0
37,65,86,Carter & Gonzalez-Vallejo (2018),Nutrient-specific system versus full fact panel: Testing the benefits of nutrient-specific front-of-package labels in a student sample,2018,1,food,assistance,reminder,conventional_lab,1,174,174,83,91,0,29.71,16.92,29.51,15.51,-0.0123,0.023,0,0
27,47,64,Bronchetti et al. (2011),When a nudge isn't enough: Defaults and saving among low-income tax filers,2011,1,finance,structure,default,natural_field,1,259,259,130,129,1,0.09555,NA,0.09045,NA,-0.0176,0.0154,1,0
74,128,168,Grant et al. (2018),"A comparison of the efficacy of three intervention trail types: Postal, group, and one-to-one facilitation, prior management and the impact of message framing and repeat meassages on the flock prevalence of lameness in sheep",2018,0,health,information,translation,framed_field,1,660,660,329,331,1,0.435,NA,0.426,NA,-0.0182,0.0061,0,0
129,207,280,Missbach & Konig (2016),Middle choice preference and snack choice: The role of self-regulatory resources to nudge healthier food choice,2016,0,food,structure,effort,conventional_lab,1,182,182,89,93,1,0.35,NA,0.34,NA,-0.021,0.022,0,0
69,121,156,Goldzahl et al. (2018),Increasing breast-cancer screening uptake: A randomized controlled experiment,2018,0,health,information,social_reference,natural_field,1,15880,10573,5277,5296,1,0.4758,NA,0.4651,NA,-0.0214,0.0004,0,0
89,149,198,Jin (2011),Improving response rates in web surveys with default setting: The effects of default on web survey participation and permission,2011,1,other,structure,default,artefactual_field,1,124,124,62,62,1,0.625,NA,0.613,NA,-0.0247,0.0323,1,0
139,221,300,Park et al. (2010),A randomized evaluation of loss and gain frames in an invitation to screening for type 2 diabetes,2010,0,health,information,translation,natural_field,1,116,116,57,59,1,0.82,NA,0.81,NA,-0.0258,0.0345,0,0
134,215,293,Niven et al. (2019),Effects of health star labelling on the healthiness of adults' fast food meal selections: An experimental study,2019,0,food,information,visibility,artefactual_field,1,1007,505,252,253,0,3.68,3.887635,3.78,3.814188,-0.026,0.0079,0,0
45,76,97,Courtright et al. (2016),A randomized trial of expanding choice sets to motivate advance directive completion,2016,1,health,structure,composition,framed_field,1,316,316,160,156,1,0.131,NA,0.122,NA,-0.0271,0.0127,0,0
38,68,89,Castleman & Page (2015),Summer nudging: Can personalized text messages and peer mentor outreach increase college going among low-income high school graduates?,2015,1,other,assistance,reminder,natural_field,1,1393,1393,696,697,1,0.701,NA,0.685,NA,-0.0347,0.0029,1,0
75,129,170,Grepin et al. (2019),Cash on delivery: Results of a randomized experiment to promote maternal health care in Kenya,2019,0,health,assistance,reminder,framed_field,1,1514,1180,574,606,1,0.3885017,NA,0.3712871,NA,-0.0355,0.0034,0,0
173,269,363,Soon et al. (2018),Effect of two behavioural 'nudging' interventions on management decisions for low back pain: A randomised vignette-based study in general practitioners,2018,0,health,structure,composition,artefactual_field,1,120,61,30,31,1,0.425,NA,0.4509,NA,-0.0522,0.0656,0,0
58,100,132,Evans et al. (2011),Trust and self-control: The moderating role of the default,2011,1,finance,structure,default,conventional_lab,1,62,62,36,26,0,9.61,6.85,9.15,6.09,-0.0703,0.0663,0,0
76,130,172,Hainmueller et al. (2018),A randomized controlled design reveals barriers to citizenship for low-income immigrants,2018,1,other,assistance,reminder,natural_field,1,1190,739,425,314,1,0.44,NA,0.404,NA,-0.0729,0.0055,0,0
72,124,160,Gopalan et al. (2014),Translating the hemoglobin A1C with more easily understood feedback: A randomized controlled trial,2014,1,health,information,translation,framed_field,1,177,116,58,58,0,-0.74,2.817836,-0.55,2.284732,-0.0741,0.0345,0,0
24,39,56,Bohm et al. (2016),Outcome valence and externality valence framing in public good dilemmas,2016,0,pro-social,information,translation,conventional_lab,1,160,160,80,80,0,6.15,3.83,5.92,2.05,-0.0749,0.025,1,0
134,215,294,Niven et al. (2019),Effects of health star labelling on the healthiness of adults' fast food meal selections: An experimental study,2019,0,food,information,visibility,artefactual_field,1,1007,503,252,251,0,5452,2790.188,5686,3067.556,-0.0798,0.008,0,0
35,62,83,Carrera et al. (2018),The limits of simple implementation intentions: Evidence from a field experiment on making plans to exercise,2018,1,health,assistance,commitment,framed_field,1,877,877,439,438,0,2.63,3.15,2.33,2.92,-0.0988,0.0046,0,0
210,329,437,Zeinstra et al. (2010),Offering choice and its effect on Dutch children's liking and consumption of vegetables: A randomized controlled trial,2010,0,food,structure,composition,framed_field,0,303,206,96,110,0,55.8,45,51.3,46,-0.0988,0.0195,0,0
147,233,315,Raynor & Wing (2007),Package unit size and amount of food: Do both influence intake?,2007,1,food,structure,composition,conventional_lab,1,28,28,14,14,0,4026.8,2313.1,3783.4,2335.1,-0.1047,0.1431,0,0
80,135,178,Harnack et al. (2008),Effects of calorie labeling and value size pricing on fast food meal choices: Results from an experimental trial,2008,1,food,information,visibility,artefactual_field,1,301,301,150,151,0,827.5,400.6,873.6,439.1,-0.1097,0.0133,0,0
186,293,392,Thunstrom et al. (2018),Nudges that hurt those already hurting: Distributional and unintended effects of salience nudges,2018,1,other,assistance,reminder,conventional_lab,1,410,234,165,69,0,2.189,2.195,1.919,2.271,-0.1218,0.0206,0,0
76,130,173,Hainmueller et al. (2018),A randomized controlled design reveals barriers to citizenship for low-income immigrants,2018,1,other,assistance,reminder,natural_field,1,1190,722,425,297,1,0.44,NA,0.38,NA,-0.1221,0.0057,0,0
55,93,124,Dos Santos et al. (2019),Impact of nudging intervention and factors associated with vegetable dish choice among European adolescents,2019,0,food,assistance,reminder,framed_field,0,84,84,47,37,1,0.1489,NA,0.1081,NA,-0.1223,0.0484,0,0
32,53,72,Byrd et al. (2018),Adding sodium information to casual dining restaurant menus: Beneficial or detrimental for consumers?,2018,1,food,information,visibility,artefactual_field,1,104,104,57,47,0,3041,1317.144,3220,1316.56,-0.1359,0.0389,0,0
121,198,264,McCaul & Kopp (1982),Effects of goal setting and commitment on increasing metal recycling,1982,1,environment,assistance,commitment,framed_field,1,55,55,28,27,0,45.28,36.05017,40.87,24.20288,-0.1431,0.0729,0,0
148,234,316,Reiter et al. (2012),Default policies and parents' consent for school-located HPV vaccination,2012,1,health,structure,default,artefactual_field,1,188,188,94,94,1,0.41,NA,0.34,NA,-0.1447,0.0213,1,0
210,329,438,Zeinstra et al. (2010),Offering choice and its effect on Dutch children's liking and consumption of vegetables: A randomized controlled trial,2010,0,food,structure,composition,framed_field,0,303,193,96,97,0,55.8,45,48.5,47,-0.1586,0.0208,0,0
43,74,95,Cheung et al. (2017),The Hunger Games: Using hunger to promote healthy choices in self-control conflicts,2017,1,food,information,social_reference,artefactual_field,1,201,201,101,100,0,NA,NA,NA,NA,-0.1636,0.02,1,0
9,10,14,Bacon & Krpan (2018),(Not) eating for the environment: The impact of restaurant menu design on vegetarian food choice,2018,0,food,structure,composition,artefactual_field,1,565,380,194,186,1,0.13,NA,0.06,NA,-0.2428,0.0106,0,0
148,235,317,Reiter et al. (2012),Default policies and parents' consent for school-located HPV vaccination,2012,1,health,structure,default,artefactual_field,1,80,80,40,40,1,0.75,NA,0.52,NA,-0.4836,0.0515,1,0
207,324,432,Yeomans & Herberich (2014),An experimental test of the effect of negative social norms on energy-efficient investments,2014,1,environment,information,social_reference,framed_field,1,67,67,31,36,1,0.581,NA,0.278,NA,-0.6228,0.0629,0,0
105,177,230,Lalor & Hailey (1989),The effects of message framing and feelings of susceptibility to breast cancer on reported frequency of breast self-examination,1989,1,health,information,translation,conventional_lab,1,23,23,12,11,0,2.46,1.2,3.33,1.32,-0.6913,0.1846,1,0
